,Y,textlength,review_count,average_stars,funny_vote_count,useful_vote_count,cool_vote_count,fans
0,3.0,1225,841,4.15,6,58,5,48
1,2.0,1852,194,3.76,0,5,0,9
2,2.0,1852,128,3.62,6,9,4,17
3,4.0,1138,1243,3.75,13,15,16,167
4,3.0,406,359,3.54,481,1143,379,43
5,3.0,494,214,3.8,210,2488,3250,80
6,4.0,191,214,3.8,210,2488,3250,80
7,4.0,1010,672,3.74,798,2669,1406,44
8,4.0,191,627,3.21,8,174,8,23
9,5.0,785,349,3.88,231,139,37,26
10,5.0,785,703,3.63,35,60,35,35
11,3.0,561,203,4.23,3785,4576,3351,55
12,2.0,1852,203,4.23,3785,4576,3351,55
13,1.0,559,35,3.84,6,20,12,0
14,3.0,494,48,2.44,7765,47878,22770,20
15,4.0,191,48,2.44,7765,47878,22770,20
16,3.0,561,32,3.97,256,1047,354,16
17,2.0,1852,32,3.97,256,1047,354,16
18,5.0,326,32,3.97,256,1047,354,16
19,5.0,326,371,3.15,453,557,433,46
20,3.0,561,237,4.1,333,1050,505,19
21,2.0,1852,237,4.1,333,1050,505,19
22,2.0,1852,240,3.96,468,638,638,58
23,5.0,1636,640,3.73,177,260,4,36
24,4.0,455,1440,3.74,3585,3761,3118,199
25,5.0,785,125,3.49,54,128,95,11
26,2.0,185,146,3.57,285,654,419,20
27,5.0,168,23,3.8,2,8,1,5
28,1.0,559,106,3.82,19,10,13,6
29,3.0,941,29,4.0,1,2,1,0
30,5.0,108,7,4.14,0,0,0,2
31,2.0,596,693,4.18,7528,8146,7564,145
32,5.0,1636,248,3.57,55,136,57,47
33,5.0,785,1983,3.61,4681,4756,4734,268
34,3.0,561,372,3.89,95,216,82,43
35,4.0,1022,315,3.61,394,398,387,47
36,3.0,561,94,3.07,4,11,3,5
37,5.0,320,108,3.43,7100,11833,11628,79
38,3.0,406,108,3.43,7100,11833,11628,79
39,4.0,1010,176,3.73,20,158,86,26
40,2.0,557,187,3.53,38,44,30,24
41,4.0,1010,187,3.53,38,44,30,24
42,3.0,561,186,4.16,759,594,156,13
43,2.0,1852,186,4.16,759,594,156,13
44,1.0,559,127,3.2,53,120,29,5
45,3.0,941,907,3.95,5351,28693,22898,704
46,4.0,268,907,3.95,5351,28693,22898,704
47,3.0,1225,907,3.95,5351,28693,22898,704
48,3.0,941,318,3.8,42,219,43,41
49,3.0,561,318,3.8,42,219,43,41
50,5.0,1636,254,3.57,377,333,317,139
51,3.0,561,292,4.25,17,447,408,16
52,5.0,1636,1318,3.72,3753,3863,3786,98
53,3.0,733,1318,3.72,3753,3863,3786,98
54,4.0,191,155,3.84,150,811,1776,31
55,3.0,561,289,3.68,120,1508,2943,18
56,5.0,326,289,3.68,120,1508,2943,18
57,5.0,785,400,3.65,127,629,979,44
58,5.0,320,1730,4.05,13432,20759,21237,722
59,4.0,322,1730,4.05,13432,20759,21237,722
60,4.0,1022,1730,4.05,13432,20759,21237,722
61,1.0,559,1730,4.05,13432,20759,21237,722
62,5.0,1636,441,3.82,65,551,296,55
63,4.0,1022,216,3.74,26,37,26,34
64,5.0,1636,1012,3.8,769,966,866,123
65,4.0,1022,263,3.53,1804,1645,1858,59
66,4.0,1022,271,4.0,7,25,6,25
67,3.0,941,447,3.85,2553,5697,3302,55
68,3.0,941,3632,3.87,276,406,315,607
69,3.0,561,3632,3.87,276,406,315,607
70,4.0,1026,3632,3.87,276,406,315,607
71,3.0,561,269,3.1,47,62,42,29
72,3.0,941,402,3.79,935,2986,1289,41
73,2.0,1852,402,3.79,935,2986,1289,41
74,4.0,322,1117,3.92,4,10,5,118
75,3.0,561,574,3.48,99,106,91,72
76,2.0,1852,574,3.48,99,106,91,72
77,3.0,561,200,3.79,121,117,98,35
78,4.0,1022,142,4.13,11,53,31,9
79,2.0,557,59,3.44,14,22,4,1
80,2.0,1852,403,3.6,83,143,83,45
81,3.0,941,403,3.6,83,143,83,45
82,3.0,561,403,3.6,83,143,83,45
83,5.0,320,800,4.06,597,1811,1530,544
84,3.0,347,403,4.13,12362,28381,26686,287
85,5.0,1636,403,4.13,12362,28381,26686,287
86,2.0,1852,308,3.67,46,699,109,50
87,1.0,380,308,3.67,46,699,109,50
88,3.0,561,308,3.67,46,699,109,50
89,4.0,1026,308,3.67,46,699,109,50
90,5.0,326,308,3.67,46,699,109,50
91,2.0,1852,466,3.66,65,102,94,23
92,4.0,99,34,4.56,8,38,4,8
93,4.0,322,44,4.17,6,15,7,7
94,5.0,785,472,3.8,127,172,92,65
95,5.0,1213,13,4.15,0,1,1,1
96,4.0,191,412,4.25,80,235,124,52
97,3.0,561,67,3.93,10,31,40,2
98,3.0,561,216,3.95,100,432,196,25
99,4.0,455,87,4.09,24,75,34,13
100,5.0,715,192,3.34,7724,9559,9575,62
101,4.0,1022,192,3.34,7724,9559,9575,62
102,4.0,455,259,3.49,297,388,312,93
103,3.0,561,787,3.56,643,840,767,42
104,2.0,1852,787,3.56,643,840,767,42
105,4.0,191,181,4.26,9,523,36,14
106,4.0,592,501,4.16,226,1861,59,31
107,4.0,191,366,4.1,34,64,18,25
108,4.0,191,250,3.62,151,364,135,25
109,4.0,455,471,3.8,83,84,69,44
110,2.0,1852,471,3.8,83,84,69,44
111,3.0,1225,471,3.8,83,84,69,44
112,3.0,1225,25,2.6,1,9,0,2
113,4.0,455,1577,3.87,20188,21510,20114,847
114,4.0,1138,1577,3.87,20188,21510,20114,847
115,4.0,322,1014,3.59,462,208,825,43
116,4.0,191,1014,3.59,462,208,825,43
117,2.0,1852,331,4.05,139,436,306,38
118,3.0,561,331,4.05,139,436,306,38
119,1.0,380,331,4.05,139,436,306,38
120,4.0,1022,163,3.83,302,328,265,12
121,4.0,191,150,3.63,33,68,24,9
122,2.0,557,255,3.7,121,464,585,23
123,2.0,557,107,3.79,0,12,1,11
124,4.0,455,315,3.32,1284,2140,4197,53
125,2.0,557,69,3.23,9,19,2,9
126,3.0,941,147,3.92,2,12,10,6
127,2.0,1852,63,3.83,4,23,6,7
128,3.0,561,63,3.83,4,23,6,7
129,2.0,1218,157,3.64,72,196,45,6
130,5.0,326,171,4.47,8,564,101,11
131,3.0,561,171,4.47,8,564,101,11
132,2.0,1852,322,3.66,214,341,190,106
133,5.0,326,322,3.66,214,341,190,106
134,4.0,1010,72,4.18,2,16,2,0
135,4.0,1010,179,3.5,36,28,10,4
136,4.0,1010,843,3.57,120,106,96,88
